Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
485000.0;63.21;3;0;3;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3.7
453520.0;56.69;2;1;4;4;1920;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5
510680.0;60.08;3;1;4;4;1920;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5
475000.0;89.06;3;0;1;3;1930;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2.0
360000.0;46.6;2;1;4;4;1920;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5
310000.0;41.35;2;0;1;3;1940;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3.5
319900.0;41.81;2;0;3;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3.8
319000.0;36.43;2;0;6;10;1972;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.4
500000.0;68.0;3;1;1;1;2021;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;7.1
285000.0;32.0;2;0;6;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0.0
320000.0;40.0;2;0;3;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;4.3
399999.0;38.26;2;0;1;6;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
340000.0;40.0;2;0;3;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;4.3
499000.0;52.4;2;0;0;3;2006;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;4.3
749000.0;62.19;3;0;3;3;2005;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;9.2
545000.0;47.63;2;0;0;4;2015;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
410000.0;52.96;2;0;2;2;1992;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
522000.0;58.0;3;1;0;4;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.4
445500.0;49.5;2;1;0;4;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.4
