Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
449000.0;47.0;2;0;0;3.0;1950.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3.1
425000.0;62.45;3;0;2;5.0;1996.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3.2
579000.0;54.0;3;0;0;5.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.9
600000.0;58.2;3;0;2;5.0;2015.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.8
551000.0;81.9;3;0;4;5.0;1900.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3.1
669000.0;41.65;2;0;0;4.0;2014.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.1
389999.0;46.0;2;0;1;3.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
549000.0;52.1;2;0;0;4.0;1910.0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1.5
410000.0;38.1;1;0;3;5.0;2002.0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;2.3
495000.0;52.09;2;0;2;4.0;2016.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.3
328605.0;36.21;2;1;1;6.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
280784.0;30.52;1;1;1;6.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
339858.0;37.45;2;1;1;6.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
260447.0;26.11;1;1;0;6.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
345224.0;21.59;1;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
341067.0;20.54;1;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
341706.0;21.37;1;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
519000.0;74.1;4;0;1;11.0;1982.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.7
417000.0;51.49;3;0;0;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.9
