Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
147000.0;36.13;2;0;6;10;1966;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;20.4
182000.0;47.4;3;0;0;10;1969;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;22.5
369000.0;49.0;3;0;3;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;29.7
292842.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
384144.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
314534.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
354618.0;73.04;4;1;2;3;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;26.8
379500.0;60.0;3;0;2;4;1977;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;24.9
182000.0;43.0;2;0;3;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.1
410000.0;57.43;3;0;3;3;2015;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;18.3
357000.0;51.2;2;0;8;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;29.7
249000.0;45.11;2;0;2;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;23.5
300000.0;120.5;5;0;3;4;1910;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;20.4
299000.0;61.13;3;0;3;4;1975;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;28.5
392147.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
450000.0;74.0;3;0;0;3;2011;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;33.7
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
325000.0;39.25;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
190000.0;31.0;2;0;0;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;13.0
339000.0;66.67;3;0;3;3;1965;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2.6
225000.0;48.0;2;0;5;5;1960;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0.0
290000.0;117.0;4;0;3;4;1938;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;27.7
